Emotions,Path
surprise,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/data_path.csv
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a01.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a02.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a03.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a04.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a05.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a06.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a07.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a08.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a09.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a10.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a11.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a12.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a13.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a14.wav
angry,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_a15.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d01.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d02.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d03.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d04.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d05.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d06.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d07.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d08.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d09.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d10.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d11.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d12.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d13.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d14.wav
disgust,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_d15.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f01.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f02.wav
fear,D:/Emotion Recognition from Text and Speech/Speech Emotion Recognition/dataset/DC_f03.wav
